KLDO data file V101
[{PARAMETERS}]
[{TotalTime}]
10:30

[{PreTemp}]
210

[{CookDate}]
26-04-19 17:08:29

[{Comment}]
sim

[{EVENT}]
[{StartBeansIn}]
210@00:00

[{TemperBack}]
102@00:43

[{TurntoYellow}]
150@03:28

[{1stBoomStart}]


[{1stBoomEnd}]

[{2ndBoomStart}]

[{2ndBoomEnd}]

[{BeansColdDown}]
240@10:30

[{DATA}]
Index,Time,BT,ET,RoR,SV,HPM,HP,SM,RL,PS
233,233000,159,316,20.59,0,M,95,30,70,O
234,234000,159,317,20.61,0,M,95,30,70,O
235,235000,160,317,20.64,0,M,95,30,70,O
236,236000,160,318,20.66,0,M,95,30,70,O
237,237000,160,318,20.69,0,M,95,30,70,O
238,238000,161,319,20.71,0,M,95,30,70,O
239,239000,161,319,20.74,0,M,95,30,70,O
240,240000,161,320,20.76,0,M,95,30,70,O
241,241000,162,320,20.78,0,M,95,30,70,O
242,242000,162,321,20.81,0,M,95,30,70,O
243,243000,162,321,20.83,0,M,95,30,70,O
244,244000,163,322,20.85,0,M,95,30,70,O
245,245000,163,322,20.87,0,M,95,30,70,O
246,246000,163,323,20.89,0,M,95,30,70,O
247,247000,164,323,20.91,0,M,95,30,70,O
248,248000,164,323,20.93,0,M,95,30,70,O
249,249000,165,324,20.95,0,M,95,30,70,O
250,250000,165,324,20.97,0,M,95,30,70,O
251,251000,165,325,20.98,0,M,95,30,70,O
252,252000,166,325,21.00,0,M,95,30,70,O
253,253000,166,326,21.02,0,M,95,30,70,O
254,254000,166,326,21.03,0,M,95,30,70,O
255,255000,167,327,21.05,0,M,95,30,70,O
256,256000,167,327,21.06,0,M,95,30,70,O
257,257000,167,328,21.07,0,M,95,30,70,O
258,258000,168,328,21.08,0,M,95,30,70,O
259,259000,168,329,21.09,0,M,95,30,70,O
260,260000,168,329,21.10,0,M,95,30,70,O
261,261000,169,330,21.11,0,M,95,30,70,O
262,262000,169,330,21.12,0,M,95,30,70,O
263,263000,169,331,21.12,0,M,90,30,70,O
264,264000,170,331,21.12,0,M,90,30,70,O
265,265000,170,332,21.11,0,M,90,30,70,O
266,266000,171,332,21.10,0,M,90,30,70,O
267,267000,171,332,21.09,0,M,90,30,70,O
268,268000,171,333,21.07,0,M,90,30,70,O
269,269000,172,333,21.05,0,M,90,30,70,O
270,270000,172,334,21.03,0,M,90,30,70,O
271,271000,172,334,21.00,0,M,90,30,70,O
272,272000,173,335,20.98,0,M,90,30,70,O
273,273000,173,335,20.95,0,M,90,30,70,O
274,274000,173,335,20.92,0,M,90,30,70,O
275,275000,174,336,20.89,0,M,90,30,70,O
276,276000,174,336,20.86,0,M,90,30,70,O
277,277000,174,337,20.82,0,M,85,30,70,O
278,278000,175,337,20.78,0,M,85,30,70,O
279,279000,175,337,20.73,0,M,85,30,70,O
280,280000,175,338,20.68,0,M,85,30,70,O
281,281000,176,338,20.63,0,M,85,30,70,O
282,282000,176,339,20.58,0,M,85,30,70,O
283,283000,176,339,20.52,0,M,85,30,70,O
284,284000,177,339,20.47,0,M,85,30,70,O
285,285000,177,340,20.40,0,M,80,30,70,O
286,286000,177,340,20.34,0,M,80,30,70,O
287,287000,178,340,20.27,0,M,80,30,70,O
288,288000,178,341,20.19,0,M,80,30,70,O
289,289000,178,341,20.11,0,M,80,30,70,O
290,290000,178,341,20.03,0,M,80,30,70,O
291,291000,179,341,19.95,0,M,80,30,70,O
292,292000,179,342,19.87,0,M,80,30,70,O
293,293000,179,342,19.79,0,M,80,30,70,O
294,294000,180,342,19.70,0,M,80,30,70,O
295,295000,180,343,19.62,0,M,80,30,70,O
